Institution,City,State,Zip,Instituion URL,Cost of Attendance,In-state Tuition,Out-of-State Tuition,Average Faculty Salary,Student Spending Ratio
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,23053.0,10024.0,18634.0,7709.0,0.7047013977128336
University of Alabama at Birmingham,Birmingham,AL,35294-0110,https://www.uab.edu/,24495.0,8568.0,20400.0,11049.0,1.2386739417989419
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu/,14800.0,6950.0,6950.0,4187.0,0.31975858074742425
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu/,23917.0,11122.0,23518.0,9688.0,1.0257401812688822
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,21866.0,11068.0,19396.0,7221.0,0.9748617920100136
The University of Alabama,Tuscaloosa,AL,35487-0100,www.ua.edu/,29872.0,10780.0,30250.0,10291.0,0.6793929495031986
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu/,10493.0,4870.0,8800.0,6480.0,3.408450704225352
Athens State University,Athens,AL,35611,www.athens.edu/,15171.0,6745.0,13546.0,8421.0,1.0858294930875576
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu/,19849.0,8620.0,18292.0,7927.0,0.7755830253600102
Auburn University,Auburn,AL,36849,www.auburn.edu/,31590.0,11492.0,31124.0,10738.0,0.5244869544161269
Birmingham-Southern College,Birmingham,AL,35254,www.bsc.edu/,32095.0,18238.0,18238.0,6294.0,1.060101445114365
Chattahoochee Valley Community College,Phenix City,AL,36869,www.cv.edu/,7338.0,4860.0,8790.0,6446.0,2.2081427264409883
South University-Montgomery,Montgomery,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery, AL",28258.0,17014.0,17014.0,4826.0,0.5784516235644055
Enterprise State Community College,Enterprise,AL,36330-1300,www.escc.edu/,9393.0,4800.0,8730.0,6600.0,2.0990356083086055
Coastal Alabama Community College,Bay Minette,AL,36507-2698,www.coastalalabama.edu/,15251.0,4800.0,8730.0,6663.0,1.4187713310580206
Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu/,34317.0,22310.0,22310.0,6001.0,0.5285341960995776
Gadsden State Community College,Gadsden,AL,35903,www.gadsdenstate.edu/,10346.0,3888.0,7032.0,6696.0,2.616203703703704
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,www.wallace.edu/,9863.0,4740.0,8670.0,6102.0,2.350717079530639
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,www.wallacestate.edu/,12144.0,4800.0,8730.0,6563.0,1.7300103842159917
George C Wallace State Community College-Selma,Selma,AL,36703-2808,www.wccs.edu/,10657.0,4500.0,8430.0,5915.0,3.5224766751484307
Herzing University-Birmingham,Birmingham,AL,35209,https://www.herzing.edu/,30119.0,14200.0,14200.0,6076.0,0.2689670932358318
Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu/,36828.0,27400.0,27400.0,6678.0,0.5343829023574517
Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu/,20695.0,11532.0,11532.0,4774.0,2.4942660550458715
J. F. Drake State Community and Technical College,Huntsville,AL,35811,https://www.drakestate.edu/,12586.0,4770.0,8700.0,6418.0,2.967233009708738
Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,19004.0,11120.0,20840.0,7269.0,0.911030106655866
